Sentences,Labels
is origin the word  jj .,DESC:desc
many hostages killed the entebbe raid ,NUM:count
you can raise iq ,DESC:manner
does inri stand when used jesus  cross ,ABBR:exp
produces spumante ,HUM:gr
earns money hard way ,HUM:ind
founded people s temple commune ,HUM:ind
athlete makes most money sports merchandise sales ,HUM:ind
many bends there a standard paper clip ,NUM:count
discovered electricity ,HUM:ind
part your body contains corpus callosum ,ENTY:body
was first american space ,HUM:ind
two south american countries nt border brazil ,LOC:country
album put beatles the cover time 1967 ,ENTY:cremat
poem contains line   grow old me best yet be  .,ENTY:cremat
is dental root canal ,DESC:def
war the wanna-go-home riots occur ,ENTY:event
is busiest air travel season ,NUM:date
s colored part the eye called ,ENTY:body
are hook worms ,DESC:def
is rose bowl played ,LOC:other
japanese car maker its biggest percentage sale the domestic market ,HUM:gr
is mayor marbella ,HUM:ind
sun-blasted  14-mile wide valley just north the mojave desert ,LOC:other
what year thatcher become prime minister ,NUM:date
many months it take moon revolve around earth ,NUM:count
are 49 steps ,LOC:other
what year de gaulle elected president france ,NUM:date
sings themes  dawson s creek   felicity  ,HUM:ind
directed  jaws  ,HUM:ind
what t.v. show tom terrific found ,ENTY:cremat
indian tribe f troop perpetually battle ,HUM:gr
did indian pudding come ,DESC:desc
do clothing labels say  use nonchlorine bleach  ,DESC:reason
many colonies involved the american revolution ,NUM:count
is name the city maurizio pellegrin lives ,LOC:city
can find pictorial directions how build very simple treehouse ,LOC:other
game s board shows territories irkutsk  yakutsk kamchatka ,ENTY:sport
is name the managing director apricot computer ,HUM:ind
is occupation nicholas cage ,HUM:title
do horseshoes bring luck ,DESC:reason
is 401  k  plan ,DESC:def
causes pneumonia ,DESC:reason
are three winter months the southern hemisphere ,NUM:date
does gringo mean ,DESC:def
country contains africa s northernmost point ,LOC:country
therapy attempts elicit  primal scream  ,ENTY:dismed
is kalahari desert ,LOC:other
ventura county police department seized largest cocaine shipment it s history ,HUM:gr
city sometimes called gotham ,LOC:city
dangles the tongue the palate ,ENTY:body
created dennis menace ,HUM:ind
dummy received honorary degree northwestern university ,HUM:ind
was first wall street journal published ,NUM:date
countries the largest areas forest ,LOC:country
do start web based business ,DESC:manner
name alvin s brothers,HUM:ind
is eagle s syndrome styloid process ,DESC:def
did jayne mansfield die ,DESC:manner
did royal wedding prince andrew fergie take place ,NUM:date
actor said a day the races   either s dead my watch stopped  ,HUM:ind
explorer nicknamed iberia s pilot ,HUM:ind
cnn began broadcasting what year ,NUM:date
is ball hits foul pole called ,ENTY:termeq
makes hamburgers taste like steakburgers ,DESC:reason
company created internet browser mosaic ,HUM:gr
are rites accompanying circumcision a newly born-child judaism called ,ENTY:event
was education system the 1960 s ,ENTY:other
south american city the world s highest commercial landing field ,LOC:city
can find which cities cable-modem access ,DESC:manner
is betsy ross famous ,DESC:reason
many species sharks there ,NUM:count
is  snoogans  ,DESC:def
many people there the world ,NUM:count
shrubs can planted will safe deer ,ENTY:plant
organization s offices broken at watergate 1972 ,HUM:gr
is design the ship titanic ,DESC:desc
does s.o.s. stand ,ABBR:exp
name technique widely used detect birth defects ,ENTY:techmeth
is daily requirement folic acid an expectant mother ,DESC:desc
is  7-minute cigarette  ,DESC:def
four forms gold occur ,ENTY:other
is acreage the chappellet vineyard ,NUM:volsize
do correctly say word  qigong  ,DESC:manner
did beethoven die ,NUM:date
much a new railroad coal car cost ,NUM:money
two european countries entered war american independence the british ,LOC:country
is filmmakers collabrative ,DESC:def
russian composer s prelude c sharp minor brought fame fortune ,HUM:ind
caused harry houdini s death ,DESC:reason
was mother man would be king  the duke windsor ,HUM:ind
many revolutions a standard lp make three minutes ,NUM:count
is name the tallest mountain the world ,LOC:mount
can find review nightmare elm street a film journal ,LOC:other
s slowest olympic swimming stroke ,ENTY:techmeth
was name the first russian astronaut do spacewalk ,HUM:ind
disease transmitted the anopheles mosquito ,ENTY:dismed
rum so  mixable  is one-brand bar ,ENTY:food
many south american countries the letter z their names ,NUM:count
is contents proposition 98 ,DESC:def
was george washington born ,LOC:other
many people the ground killed the bombing pan flight 103 lockerbie  scotland  december 21  cd .,NUM:count
wrote nn dt nnp nnp  ,HUM:ind
is paracetamol ,DESC:def
are powers weaknesses green lantern s ring ,DESC:desc
mosquito s bite draws blood  dt nn cc dt nn .,ENTY:animal
was first steel mill the united states built ,NUM:date
diminutive american female gymnast stole show the 1984 olympics ,HUM:ind
is origin the name katie ,DESC:desc
schools the washington  dc nn nn vbp nn nn nn nn .,HUM:gr
did berlin wall go ,NUM:date
is terrence malick ,HUM:desc
instrument ray charles best known playing ,ENTY:instru
s meaning the latin battle cry  ad arma  ad arma .,DESC:def
is mascot notre dame university ,ENTY:other
las vegas hotel burned november  1980  the loss 84 lives ,LOC:other
did mount st. helen last a significant eruption ,NUM:date
cnn the abbreviation what ,ABBR:exp
did world war start ,NUM:date
many feet there a fathom ,NUM:count
is canada two-penny black ,DESC:def
european city nicois live ,LOC:city
can find what year beanie baby introduced ,DESC:manner
is classic definition tragic hero ,DESC:def
what microsoft s windows 3 owe success ,ENTY:other
was president afghanistan 1994 ,HUM:ind
are ways getting stretch marks besides pregnancy  weight loss  weight lifting ,ENTY:techmeth
did brontosauruses eat ,ENTY:food
color bottles good rhine wines come ,ENTY:color
was lead actress the movie  sleepless seattle  ,HUM:ind
was 16th president the united states ,HUM:ind
are two sons ozzie harriet nelson ,HUM:ind
is molybdenum ,DESC:def
is boxing day ,NUM:date
is lowest level the american judiciary ,ENTY:other
was battle the somme fought ,NUM:date
many people randy craft kill ,NUM:count
s official animal canada ,ENTY:animal
did spielberg direct  jaws  ,NUM:date
is size the largest akita ,NUM:volsize
animal the biggest eyes ,ENTY:animal
is california s capital ,LOC:city
was author book computer hackers called  the cuckoo s egg  tracking spy the maze computer espionage  ,HUM:ind
was founding member the pink floyd band ,HUM:ind
european country home the beer-producing city budweis ,LOC:country
do find balance my social security account ,DESC:manner
is history valentine s day cards ,DESC:desc
was christopher columbus born ,LOC:other
do italians call florence ,ENTY:termeq
do get the top the eiffel tower ,DESC:manner
does  psi  stand ,ABBR:exp
sea the romans call mare nostrum ,LOC:other
s term a bet cards dealt ,ENTY:termeq
came first  according genesis 1  2  22 - chicken the egg ,ENTY:animal
city the flintstones live ,LOC:city
is latin incompetent ,ENTY:termeq
chemicals used lethal injection ,ENTY:dismed
toy company the world s no.1 maker female apparel ,HUM:gr
board game a  wood-pusher  play poorly ,ENTY:sport
doonesbury character likely turn a werewolf ,HUM:ind
is abbreviation micro ,ABBR:abb
are 7 articles the constitution ,ENTY:other
has won most super bowls ,HUM:gr
does nasdaq stand ,ABBR:exp
is bph ,ABBR:exp
is fastest commercial automobile can bought the us ,ENTY:other
stadium the miami dolphins play home games ,LOC:other
has only speaking role  silent movie  ,HUM:ind
is poop sometimes different colors ,DESC:reason
was einstein s iq ,NUM:other
day pearl harbor attacked 1942 ,NUM:date
girl s name  teddy  affectionate form ,HUM:ind
state john f. kennedy buried ,LOC:state
is best way remove wallpaper ,ENTY:techmeth
u.s. state an element named it ,LOC:state
company tabulates ballots voting the academy awards ,HUM:gr
did tradition best man start ,DESC:manner
many years ago the ship titanic sink ,NUM:count
is deepest area the arctic ocean ,LOC:other
are halloween s colors ,ENTY:color
is silk screening done ,DESC:manner
is latitude longitude el paso  texas ,NUM:other
made boat of gopher wood ,HUM:ind
can find  fifth element  screensaver ,LOC:other
bloom county resident wreaks havoc a computer ,HUM:ind
do match name a social security number ,DESC:manner
does rainbow form ,DESC:manner
is normal resting heart rate a healthy adult ,NUM:other
is population ohio ,NUM:other
many calories there a big mac ,NUM:count
hazmat stands what ,DESC:def
creature scares people the film  jaws  ,ENTY:animal
part john peter zenger play the deveopment the newspaper america ,HUM:ind
followed caesar ,HUM:ind
are four elements ,ENTY:substance
was first woman golfer earn million ,HUM:ind
s tallest piece a chessboard ,ENTY:other
is answers.com s address ,LOC:other
can buy movies videotape online ,LOC:other
does advertizing frito-lay ,HUM:ind
is leading competitor trans union company ,HUM:gr
product robert conrad dare people knock his shoulder ,ENTY:product
invented radio ,HUM:ind
s american dollar equivalent 8 pounds the u.k. ,NUM:count
are different approaches systems analysis ,ENTY:techmeth
do doctors diagnose bone cancer ,DESC:manner
is man behind pig-the man pulls strings speaks miss piggy ,HUM:ind
is speed the mississippi river ,NUM:speed
are developmental stages a swimmer ,ENTY:other
actor first portrayed james bond ,HUM:ind
ocean the largest the world ,LOC:other
was first american poet win nobel prize literature  1948 ,HUM:ind
year jack nicklaus join professional golfers association tour ,NUM:date
many sonnets shakespeare write ,NUM:count
causes redness your cheeks you blush ,DESC:reason
won nobel peace prize 1991 ,HUM:ind
are challengers the unknown ,HUM:gr
define pheonix club ,DESC:def
city christian crusaders fight recapture the muslims ,LOC:city
does mean  rupee depreciates  ,DESC:def
gaming devices dubbed  mississippi marbles   memphis dominoes  ,ENTY:other
was first coach the cleveland browns ,HUM:ind
successful arometherapy ,DESC:manner
jewish holiday saw start the 1973 mideast war ,ENTY:event
does copier work ,DESC:manner
is speed the mississippi river ,NUM:speed
said super bowl iii 1969   ll win- guarantee  ,HUM:ind
is dudley do-right s horse s name ,ENTY:animal
declared   am on whores i shan t stop ripping  ,HUM:ind
does chocolate come ,LOC:other
tv game show saw contestant admit picking toes the shower ,ENTY:cremat
soviet leader owned rolls-royce ,HUM:ind
can find case individuals disabilities education act 1991 ,LOC:other
war florence nightingale tend troops ,ENTY:event
wrote song   stardust  ,HUM:ind
many beatles  records went #1 ,NUM:count
is only prime minister canada serve 22 years not necessarily consecutively ,HUM:ind
is abbreviation the company name  general motors  ,ABBR:abb
mountains lie the arkansas missouri rivers ,LOC:mount
received will rogers award 1989 ,HUM:ind
is function ram ,DESC:reason
s closest g2 spectrum yellow dwarf earth ,LOC:other
many equal angles there an isosceles triangle ,NUM:count
is fear cockroaches called ,ENTY:dismed
cbs soap opera interrupted the bulletin john f. kennedy s assassination ,ENTY:cremat
is use a 24-hour clock instead a 12-hour clock ,DESC:desc
was name the lawyer represented randy craft ,HUM:ind
united states president dreamed he assassinated ,HUM:ind
film lee marvin win 1965 best actor oscar ,ENTY:cremat
is basque country located ,LOC:other
product  mrs. olsen  promote ,ENTY:product
time day emperor hirohito die ,NUM:date
is dry ice ,DESC:def
s most powerful card euchre ,ENTY:other
does  intractable plantar keratoma  mean ,DESC:def
many years it take james joyce write ulysses ,NUM:count
crop failure caused irish famine ,ENTY:food
south korean city served kimpo international airport ,LOC:city
many types dogs  tails there - three,NUM:count
is longest-running television series ,ENTY:cremat
predators exist antarctica ,ENTY:animal
is difference a generator an alternator ,DESC:desc
is energy created ,DESC:manner
beer advertised it  three rings  ,ENTY:food
is quantity american soldiers still unaccounted from vietnam war ,NUM:other
golfing accessory patented george grant december 12,ENTY:techmeth
are different types plastic ,ENTY:other
is correct say  qigong  ,DESC:manner
highest mountain earth mount everest was discovered ,LOC:mount
was ligurian republic  1797-185  ,LOC:other
country s people the top television watchers ,LOC:country
was women s suffrage amendment ratified ,NUM:date
polynesian people inhabit new zealand ,HUM:gr
movie tour roman empire features the admonition   row well live  ,ENTY:cremat
nevada center been dubbed biggest little city the world ,LOC:city
president lived 219 north delaware street  independence  missouri ,HUM:ind
give reason american indians oftentimes dropping of school .,DESC:reason
must soccer goalie stand be permitted handle ball ,LOC:other
is difference classical conditioning operant conditioning ,DESC:desc
what u.s. state the first woman governor elected ,LOC:state
are interesting facts information dogsledding ,DESC:desc
year hitler die ,NUM:date
famous model married billy joel ,HUM:ind
kind animal babar ,ENTY:animal
is jane goodall known ,DESC:reason
killed bob marley ,ENTY:other
much money dumbo s ears insured ,NUM:money
danced stardom fred astaire 1941 s ll never get rich ,HUM:ind
is stein eriksen ,HUM:desc
does name billie mean ,DESC:def
is fastest swimmer the world ,HUM:ind
is highest peak africa ,LOC:mount
is procter & gamble headquartered the u.s. ,LOC:other
desert been called garden allah ,LOC:other
do bicornate animals two ,ENTY:other
function a community s water tower serve ,DESC:reason
is fear weakness ,ENTY:dismed
many miles it ohio north carolina ,NUM:count
much snow equals inch rain ,NUM:count
does g.m.t. stand ,ABBR:exp
does inuit eskimo mean ,DESC:def
song served the closing theme the johnny cash show ,ENTY:cremat
field sport dentist william beers promote write standard book rules ,ENTY:sport
do tie dye clothes ,DESC:manner
does average teenager first intercourse ,NUM:date
doesn t www.answers.com any answers my questions ,DESC:reason
actor s autobiography titled my yesterdays ,HUM:ind
russian master spy lived the u.s. the name emil goldfus ,HUM:ind
s 19th hole a golf course ,LOC:other
s nature s purpose tornadoes ,DESC:reason
played original charlie s angels ,HUM:ind
can find person s address a telephone number ,LOC:other
english word comes the old french covrefeu  meaning cover fire ,ENTY:word
musical instrument prewitt play james jones s here eternity ,ENTY:instru
did sarge steel get metal hand ,LOC:other
makes popcorn pop ,DESC:reason
wrote night the iguana ,HUM:ind
does hair grow fastest ,ENTY:body
country king gustav v reign from 197 195 ,LOC:country
painted mother child ,HUM:ind
is speed the mississippi river ,NUM:speed
what area the world the six day war fought ,LOC:other
is brightest star visible earth ,LOC:other
film marked robert redford s directorial debut ,ENTY:cremat
was mao s second name ,HUM:ind
film films jude law appeared ,ENTY:cremat
do hyenas live ,LOC:other
is  queen mother  ,HUM:desc
s most commonly-spoken language belgium ,ENTY:lang
has dna - man a woman ,HUM:ind
are maid-rites ,DESC:def
children s tale contains line   come  cinderslut  hold skein wool me  ,ENTY:cremat
level government governmental agency responsible dealing racism ,HUM:gr
many referees work soccer game ,NUM:count
cocktail you concoct whisky sweet vermouth ,ENTY:food
do say  fresh  spanish ,ENTY:termeq
bee hives do in cranberry bogs ,DESC:desc
caused lynmouth floods ,DESC:reason
is tulip festival michigan ,NUM:date
came with name  el nino ,HUM:ind
movie madilyn kahn star with gene wilder ,ENTY:cremat
type bridge the golden gate bridge ,ENTY:other
dictator the nickname  el maximo  ,HUM:ind
stereo manufacturer  slightly ahead its time  ,HUM:gr
u.s. city the queen the pacific ,LOC:city
tv sitcom character the maiden name ethel potter ,HUM:ind
was first lifesaver flavor ,ENTY:food
kept most famous diary the english language ,HUM:ind
can find the top 1 singles ,LOC:other
many degrees cooler the inside a cucumber the air outside ,NUM:count
spanish artist painted crucifixion ,HUM:ind
is jewish bible called ,ENTY:cremat
is grass green ,DESC:reason
is firewall ,DESC:def
spy novelist served moscow correspondent reuter the times london ,HUM:ind
oil company almost picked word meant  stalled car  japanese its new international name ,HUM:gr
long it take spider-man s web evaporate ,NUM:period
was randy steven craft s lawyer ,HUM:ind
was known the spice island ,LOC:other
was first host person person ,HUM:ind
name ranger was always yogi bear .,HUM:ind
deck cards includes wheel fortune  lovers  death ,ENTY:other
does statue liberty wear her feet ,ENTY:other
is superstar rent-a-cars ,HUM:ind
mccarren airport located what city ,LOC:city
household facility contains float ball  ballcock  overflow tube ,ENTY:other
was name betty boop s dog ,ENTY:animal
fraction a beaver s life spent swimming ,NUM:perc
was bridge san luis rey made ,ENTY:substance
economists do ,DESC:desc
country the largest sheep population ,LOC:country
do need do take dog me live dominica  west indies a year ,DESC:desc
country the world s largest importer cognac ,LOC:country
many years johnnie walker black label aged ,NUM:count
does sids stand ,ABBR:exp
is grenada s main commodity export ,ENTY:other
much a black-and-white 1-cent stamp worth  thomas jefferson it  ,NUM:money
makes clitoris sensitive ,DESC:reason
country the time zones  11 ,LOC:country
 magic  mandrake employ ,ENTY:other
is president stanford university ,HUM:ind
whose first presidential order   let s get goddamn thing airborne  ,HUM:ind
was introduced commercially bayer a.g. leverkusen  1899 ,ENTY:other
city logan airport ,LOC:city
is nanometer ,DESC:def
many innings there a regulation softball game ,NUM:count
did cnn go the air ,NUM:date
is largest city the great lakes ,LOC:city
is telephone number the university kentucky ,NUM:code
invented baseball ,HUM:ind
many wives brigham young ,NUM:count
product the market good hiding facial scars ,ENTY:product
long the coney island boardwalk ,NUM:dist
city gained renown its pea-soup fogs ,LOC:city
does  janelle  mean ,DESC:def
do get another city s newspaper ,DESC:manner
name movie the sioux indians starring kevin costner .,ENTY:cremat
was shot back a poker game deadwood  the dakota territory ,HUM:ind
are distinct physical characterstics the arabian horse ,DESC:desc
is fear thunder ,ENTY:dismed
animal killed most people ,ENTY:animal
many colleges in wyoming ,NUM:count
russian seaport a name meaning  lord the east  ,LOC:city
can stocks traded on-line ,LOC:other
was battle hastings ,NUM:date
kind file the extension .dbf ,ENTY:other
did muhammad live ,NUM:date
then-derogatory term applied the painters monet  sisley  pissarro  renoir degas ,ENTY:termeq
is wop ,DESC:def
do rocks come ,DESC:desc
do stop background noise a car stereo ,DESC:manner
do people mountain climb nepal ,LOC:mount
is best college the country ,HUM:gr
is viscosity ,DESC:def
was name the sitcom alyssa milano starred with tony danza ,ENTY:cremat
are nordic nations ,LOC:country
internet can get information the fifth amendment on the american bill rights ,LOC:other
u.s. state borders illinois the north ,LOC:state
name film which jude law acted .,ENTY:cremat
is temperature baking peachy oat muffins ,NUM:temp
is fear bees ,ENTY:dismed
vladimir nabokov novel features professor humbert love a 12-year-old girl ,ENTY:cremat
is green bog ,DESC:def
did myth santa claus originate ,LOC:other
does chairbound basophobic fear ,ENTY:other
city served logan international airport ,LOC:city
wrestling star became  incredible hulk  ,HUM:ind
attracts tourists reims ,LOC:other
game steve mcqueen edward g. robinson play the cincinnati kid ,ENTY:sport
fastener whitcomb judson patent 1893 ,ENTY:other
s auberge france ,DESC:def
was star the 1965 broadway hit golden boy ,HUM:ind
is procter & gamble based the u.s. ,LOC:other
army founded william booth his wife catherine ,HUM:gr
does ribavirin consist ,ENTY:substance
name soft drink is  number one the sun . ,ENTY:food
is web address the list e-mail addresses members the house representatives ,LOC:other
was real name ,HUM:ind
are ears center balance ,DESC:reason
invented toothbrush ,HUM:ind
was name that popular song creeps sang ,ENTY:cremat
is abominable snowman said wander ,LOC:other
is fear being alone ,ENTY:dismed
many dots make the symbol   ,NUM:count
do get adding lactobacillus bulgaricus milk ,ENTY:food
reading classified ads  does eenty  stand ,ABBR:exp
many hearts an octopus ,NUM:count
plant the largest seed ,ENTY:plant
was only country were allowed drive israel in 1979 ,LOC:country
s approaching a cyclist shouts   oil  ,ENTY:other
baseball star turned a $1  000-a-year contract felt he had nt earned ,HUM:ind
kind sport often associated hooligans ,ENTY:sport
video game hero some his fans call chomper ,HUM:ind
many holes there a tenpin bowling ball ,NUM:count
is longest word the english language ,ENTY:word
what city state the gay men live ,LOC:other
tv comediennes s characters include former movie star nora desmond  secretary mrs. wiggins a housewife named eunice ,HUM:ind
is  bear beers  ,ENTY:animal
name operating system runs ibm-compatible machines .,ENTY:other
does name  justin  mean ,DESC:def
percentage the body muscle ,NUM:perc
color dry wine be served veal roasts chops ,ENTY:color
is golf ball made ,ENTY:substance
is amish religion ,DESC:def
does average daycare provider get paid new england ,NUM:money
was name the 187s irish terrorist group pennsylvania mining areas ,HUM:gr
played ringo kid the 1939 film stagecoach ,HUM:ind
died 1 feet where john f. kennedy ,HUM:ind
is  coppertop  battery ,DESC:def
sign water carrier the zodiacal symbol ,ENTY:symbol
animals you find the stock market ,ENTY:animal
is color ,DESC:def
is site www.questions.com going open ,NUM:date
did shostakovich write rostropovich ,ENTY:cremat
first name nipsy russell given birth ,HUM:ind
can get free technical information electric vehicle ,DESC:manner
is youngest the beatles ,HUM:ind
did shipyard inspector james j. kilroy designate equipment being satisfactory ,DESC:manner
is jellicle cat ,DESC:def
can find best free evidence debate russia ,LOC:other
is bill gates microsoft e-mail address ,LOC:other
is second hardest substance ,ENTY:substance
did several san diego schools stop serving apples students ,DESC:reason
russian city boasts hermitage museum ,LOC:city
is bastille day ,NUM:date
makes tornado turn ,DESC:reason
many shots can stock m16 hold ,NUM:count
two colors blind if you suffer protanopia ,ENTY:color
do nt guys some sort contest you ask question whoever finds answers wins prize ,DESC:reason
is coronado ,HUM:desc
was name the movie starred sharon stone arnold schwarzenegger ,ENTY:cremat
is artificial intelligence ,DESC:def
do flatfish eat ,ENTY:food
was first holy roman emperor ,HUM:ind
can use remove stubborn gummed labels some diskettes ,ENTY:other
day week sees the most fatal car accidents ,NUM:date
is origin the word  magic ,DESC:desc
sport you shag flies ,ENTY:sport
is white chocolate ,DESC:def
is trinidad ,LOC:other
name organization is presided a security council .,HUM:gr
graced airwaves such pearls  ya lo-o-ove  get naked  baby   ,HUM:ind
kind wine spumante ,ENTY:food
portrayed portly criminologist carl hyatt checkmate ,HUM:ind
do say love in spanish ,ENTY:termeq
does name gina mean ,DESC:def
is most advanced handheld calculator the world ,ENTY:product
fast light ,NUM:speed
is belt low pressure around equator called ,ENTY:termeq
are shooting stars ,DESC:def
did chicago bulls beat the 1993 championship ,HUM:gr
was first american encyclopedia published ,NUM:date
s tallest building new york city ,LOC:other
is easter sunday s date determined ,DESC:manner
is motto the state maryland ,DESC:desc
is desmond tutu ,HUM:desc
can find information the narragansett indians other tribes rhode island ,LOC:other
name tiger is extinct .,ENTY:animal
many quarters equal pound ,NUM:count
kind books fodor s publish ,ENTY:cremat
are first names rowan martin  stars tv s laugh-in ,HUM:ind
chapter the bible the verses ,NUM:ord
is worst us president ever ,HUM:ind
asian leader known the little brown saint ,HUM:ind
is abbreviated expression the national bureau investigation ,ABBR:abb
fast the fastest car go ,NUM:speed
is highest mountain the world ,LOC:mount
arch can see the place de la concorde ,LOC:other
sings song  drink me thine eyes  ben johnson ,HUM:ind
long a person wash hands they clean ,NUM:period
way you turn bic increase flame - clockwise counterclockwise ,LOC:other
is wealthiest country the world ,LOC:country
can find phone number someone i know email address ,DESC:manner
can contact play producers promoters on-line ,DESC:manner
is monarch the united kingdom ,HUM:ind
is fear passing high objects ,ENTY:dismed
do players try do the music stops a game musical chairs ,DESC:desc
are top ten common girl names the us ,HUM:ind
is black color mourning the west ,DESC:reason
is rarest coin ,ENTY:other
judith rossner novel made a film starring diane keaton ,ENTY:cremat
country australia s largest export market ,LOC:country
is kentucky horse park located ,LOC:other
is fear parasites ,ENTY:dismed
what olympic games nadia comaneci become popular ,ENTY:sport
does data collection tourism ,HUM:ind
was name the daughter the virginia chief powhatan married john rolfe ,HUM:ind
is leading pecan peanut growing state ,LOC:state
does nihilist believe ,DESC:desc
